Trait1	Trait2	TestControl	NetColoc	Parameter Tested	Bin Size	T	T*	Observed Size	Expected Size	log2COLOC Score	COLOC P	LenientOrStrict	SNP-to-Gene
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2.5	3.5	50	19.861	1.3319898305950693	6.242e-12	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	3	3.5	16	5.373	1.5742721619549696	1.446e-06	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	3.5	3.5	5	1.804	1.4707287562940685	0.01338	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1	4	302	148.891	1.020291999443566	1.1249999999999999e-41	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1.5	4	236	114.345	1.045393577640899	1.3650000000000004e-36	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2	4	143	59.768	1.2585699748236396	4.984000000000001e-29	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2.5	4	50	20.03	1.3197656737367418	8.519e-12	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	3	4	16	5.277	1.6002820164689697	8.613e-07	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	3.5	4	5	1.78	1.4900508536956891	0.01567	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	4	4	0	0.569	-inf	0.4492	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	bin	5	1	3	525	202.519	1.3742601571523645	1.4159999999999994e-127	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	bin	10	1	3	570	230.734	1.3047313100671	1.815999999999999e-145	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	bin	20	1	3	644	236.347	1.4461541359453867	1.9019999999999997e-196	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	bin	40	1	3	586	224.831	1.3820596946453811	3.382999999999998e-171	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	bin	80	1	3	562	205.962	1.4481919457979586	1.1249999999999995e-174	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	bin	160	1	3	549	201.69	1.4446665938272176	1.0509999999999995e-164	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1	1	942	429.674	1.1324845789931979	4.525999999999998e-190	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1	1.5	896	400.426	1.1619630796542868	6.1039999999999975e-177	Lenient	S2G
EFO_0005213_GCST009414	EFO_0005213_GCST009414	Test	Quantitative(Q)	th	10	1.5	1.5	481	170.435	1.496815260653412	2.7699999999999987e-166	Lenient	S2G
