Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
Vertigo	HP_0002321	34375979	Rare	Categorical	Neurological	Initial	Vertigo	1.0000001	UKB	281104.0	34375979	11	285175,151188,22882,79092,3113,440193,170394,27342,4889,3996,10529	-0.24906	1.036	46081.0	18.0	0.0259841	9.90192425925926	53.0	1929.0	52.172	1.0013333333333334
basal cell carcinoma	EFO_0004193	34375979	Rare	Categorical	Neoplasm	Initial	Basal cell carcinoma| nos	0.9328932	UKB	281104.0	34375979	12	5784,2312,54790,79871,10235,7482,23345,9765,113802,83901,55159,4157	-0.42254	1.0715	54551.0	13.5	0.008796954999999999	7.45591199074074	53.0	1969.5	53.754999999999995	0.72775
diastolic blood pressure	EFO_0006336	37262146	Rare	Continuous	Cardiovascular	Initial	Diastolic_blood_pressure_automated_reading	0.67848814	UKB	386589.0	37262146	12	2242,2982,79987,8216,5972,7015,6559,4091,1282,10332,1825,140831	-0.2134265	0.96	46282.0	22.0	0.00821292	6.7529094370370375	45.5	2160.5	85.3225	1.026
lung adenocarcinoma	EFO_0000571	34375979	Rare	Categorical	Neoplasm	Initial	Adenocarcinoma| nos	0.60915685	UKB	281104.0	34375979	21	472,675,4436,4292,3611,7367,1788,2956,25878,7015,6672,25939,80243,27189,64225,55780,3437,7066,158427,23428,3981	0.5905050000000001	0.844	57670.0	31.0	0.00793926	9.03597481481481	54.0	1807.0	65.2995	1.026
thyroid cancer	MONDO_0002108	34244158	Rare	Categorical	Neoplasm	Initial	Thyroid cancer	1.0000001	MyCode	7727.0	34244158	10	6470,683,10712,3656,10665,55722,160140,5158,115350,50853	0.3795385	1.092	40443.0	8.0	0.001329115	4.6134826851851845	45.0	1750.5	52.0655	0.8771666666666667
insomnia	EFO_0004698	34375979	Rare	Categorical	Psychiatric	Initial	Insomnia	1.0000001	UKB	281104.0	34375979	3	245972,471,6534	0.099457	1.044	37817.0	16.0	0.00203342	7.439048038888889	12.0	1777.0	68.903	1.138
schizophrenia	MONDO_0005090	34375979	Rare	Categorical	Psychiatric	Initial	Schizophrenia	1.0000001	UKB	195468.0	34375979	24	55336,2840,9570,6895,84895,7220,84224,6768,79905,8678,26059,11187,56983,642,286262,79083,10056,285605,170689,84132,344,4081,537,2689	-0.21768	0.856	31730.5	12.0	0.012054455	11.429891574074077	51.5	1498.5	45.004	1.026
renal cell carcinoma	EFO_0000681	34375979	Rare	Categorical	Neoplasm	Initial	Renal cell carcinoma	1.0000001	UKB	281104.0	34375979	8	993,259197,92140,339229,6626,6768,10621,10427	-0.34219	0.6499999999999999	24520.5	13.0	0.024786950000000002	23.69463474074074	54.0	1182.0	28.4065	1.1
basophil count	EFO_0005090	34226706	Rare	Continuous	Immunological	Initial	Blood BASOPHIL COUNT	0.9035178	UKB	438607.0	34226706	4	4353,3579,55248,9550	0.037809999999999996	1.1204999999999998	11585.5	25.0	0.00744918	7.173667586111111	32.5	1113.5	24.5226	1.0643
benign prostatic hyperplasia	EFO_0000284	34375979	Rare	Categorical	Reproductive	Initial	Hyperplasia of prostate	0.8351908	UKB	123057.0	34375979	12	146547,30818,678,11200,255022,114882,150962,5829,5289,79738,116931,2897	0.189025	1.158	66990.5	19.0	0.01234847	5.660876416666666	50.0	1705.5	35.149	1.1004166666666666
red cell distribution width	EFO_0009188	34375979	Rare	Continuous	Hematological	Initial	Red blood cell (erythrocyte) distribution width	0.7892389	UKB	261245.0	34375979	22	10661,3043,3313,5589,10483,171023,388588,164656,7037,6521,3931,10723,5426,1677,94103,9780,948,327,2766,6427,2035,6829	0.13968999999999998	0.891	34338.0	17.5	0.0116376	31.17612842592593	54.0	1925.5	77.303	1.026
strabismus	HP_0000486	34375979	Rare	Categorical	Opthamological	Initial	Other strabismus	0.91605043	UKB	256670.0	34375979	14	390197,55003,25837,148867,125336,23732,245806,4121,57570,2676,51176,5832,5045,64919	-0.516332	0.9325	29598.5	13.0	0.02296225	6.241062752129626	35.0	1189.0	34.2445	1.0465
erectile dysfunction	EFO_0004234	34375979	Rare	Categorical	Reproductive	Initial	Erectile d| impotence	0.71497846	UKB	281104.0	34375979	5	3364,23406,9842,134860,91875	-0.072548	1.477	49402.0	14.0	0.00933231	6.924906666666668	54.0	1047.0	20.459	1.0
vitiligo	EFO_0004208	34375979	Rare	Categorical	Dermatological	Initial	Vitiligo	1.0	UKB	244421.0	34375979	6	81544,6241,375567,90990,80854,2584	-0.41803999999999997	0.992	91164.0	13.0	0.025044200000000003	12.553900555555554	53.0	1163.0	37.2365	1.0168333333333333
ulcerative colitis	EFO_0000729	34375979	Rare	Categorical	Gastrointestinal	Initial	Ulcerative colitis	1.0	UKB	243545.0	34375979	22	286144,6885,85313,1432,10519,64210,131873,4648,7275,51324,168433,51320,387748,2328,201294,5829,11098,3565,399823,268,7412,338785	-0.124755	0.9555	33879.0	14.0	0.006153865	12.515325740740739	52.0	1547.0	32.1995	1.026
cardiovascular disease	EFO_0000319	34375979	Rare	Categorical	Cardiovascular	Initial	Heart disease| unspecified	0.76428044	UKB	181627.0	34375979	6	9567,54878,317772,27031,6039,57801	-0.1802	0.9045000000000001	16883.5	11.5	0.006694925000000001	16.013380305555557	54.0	1162.0	24.496000000000002	0.984
heart failure	EFO_0003144	34375979	Rare	Categorical	Cardiovascular	Initial	Heart failure	1.0	UKB	188551.0	34375979	28	7273,8521,56832,8754,8823,1511,84290,100132476,4000,28992,285231,85302,114789,221806,717,79947,80133,1262,55809,6546,3268,171023,81578,55846,342931,1747,51090,50674	0.50535	0.924	37574.5	13.5	0.008995135	6.309056628703702	35.0	1327.5	50.206	1.0146666666666668
shoulder impingement syndrome	EFO_1001178	34375979	Rare	Categorical	Skeletal	Initial	Impingement sof shoulder	0.8009312	UKB	281104.0	34375979	18	23112,400224,399671,3852,117144,7581,339221,2831,90075,29093,23315,55195,63951,441054,6579,57684,8912,11196	0.53457	0.9855	26452.5	11.0	0.00315336	5.582478153518519	46.0	1645.5	35.4555	1.026
hyperthyroidism	EFO_0009189	34375979	Rare	Categorical	Endocrine	Initial	Th[hyperthyroidism]	0.8902998	UKB	281104.0	34375979	15	10350,284697,54929,7697,146,4285,8743,79979,388341,57674,7363,10602,100820829,150280,566	-0.588455	1.098	50616.0	8.0	0.00248949	8.548967731481481	52.5	1312.0	40.0775	0.947
gastric ulcer	EFO_0009454	34375979	Rare	Categorical	Gastrointestinal	Initial	Gastric ulcer	0.9999999	UKB	234819.0	34375979	27	94239,146909,23262,130367,390271,349136,1277,1890,389400,9092,23430,85451,254359,22997,4179,50804,387082,51251,4642,79774,23312,23596,7941,2847,5411,11047,120586	-0.1603	1.0175	31492.0	13.0	0.005651175	7.159229532407406	49.5	1185.0	33.7735	1.026
urolithiasis	MONDO_0024647	34375979	Rare	Categorical	Renal	Initial	Urolithiasis	1.0000002	UKB	177967.0	34375979	17	910,494115,25927,170960,164118,10979,388419,22980,3945,84196,284723,7739,142680,51764,9910,23307,83856	-0.1348525	1.021	40057.0	7.0	0.0113664	9.581811296296294	52.0	1368.0	36.198	1.026
colorectal cancer	MONDO_0005575	34375979	Rare	Categorical	Neoplasm	Initial	Large bowel cancer|colorectal cancer	0.80817306	UKB	281104.0	34375979	11	4436,324,4292,2956,4595,3360,25996,4741,374291,7201,113251	0.20291	0.69	57670.0	18.0	0.0285495	12.004046444444445	54.0	1711.0	49.293	1.0892
actinic keratosis	EFO_0002496	34375979	Rare	Categorical	Dermatological	Initial	Actinic keratosis	1.0	UKB	228776.0	34375979	3	2312,51151,837	-0.84724	1.022	26500.0	13.0	0.00137798	12.647431503703706	5.0	1236.0	24.778	0.235
stroke	EFO_0000712	34375979	Rare	Categorical	Cardiovascular	Initial	Stroke	1.0	UKB	281104.0	34375979	9	5654,2639,5300,55846,10620,374946,1298,6789,57169	0.87736	0.817	40480.0	12.0	0.0312346	15.246942037037034	54.0	1347.0	51.867	1.0336666666666667
urticaria	EFO_0005531	34375979	Rare	Categorical	Immunological	Initial	Urticaria	1.0	UKB	216536.0	34375979	22	146956,6006,4064,2644,83715,91603,54986,84217,60686,339344,10966,130355,5587,81788,55888,51116,51727,91801,83860,391059,22997,6934	-0.06668500000000001	0.9524999999999999	41352.5	11.5	0.00584041	5.4257733888888895	51.0	1516.5	39.918	1.026
dementia	MONDO_0001627	34375979	Rare	Categorical	Neurological	Initial	Unspecified dementia	0.8429936	UKB	226855.0	34375979	18	100505591,171023,340543,389549,2896,2938,9404,23608,145581,8862,26119,7837,65078,414,283471,1984,11275,23345	0.39274	0.629	34167.0	18.5	0.0355899	18.652257870370363	51.5	1249.5	38.411	1.0255
