Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
body weight	EFO_0004338	GCST011971	Common	Continuous	Anthropometric	Additional	Weight	0.8755511		5472.0	34054925	5	80018,8315,283450,23316,3159	0.43133	0.383	82107.0	16.0	0.177777	13.491026666666668	54.0	2919.0	81.775	1.136
coronary artery disease	EFO_0001645	GCST90446534	Common	Categorical	Cardiovascular	Additional	Coronary heart disease	0.9241389	UKB	459138.0	37947095	33	4018,1952,6581,348,2242,10933,221692,6597,255738,11173,8613,2982,4846,65065,5340,1282,56895,5819,4023,55013,949,143872,55603,7040,10274,1012,23092,344758,3145,6582,23075,8633,4088	-0.13786	0.658	105812.0	22.0	0.0497671	10.119835816666669	51.0	1671.0	55.721	1.04
heel bone mineral density	EFO_0009270	GCST009120	Common	Continuous	Skeletal	Additional	Heel bone mineral density	1.0000002		197261.0	31453325	4	2099,65084,56776,80129	0.06012	0.6265000000000001	375909.5	21.0	0.0697651	5.069420675	23.0	1756.0	62.214	1.077
breast cancer	MONDO_0007254	GCST010098	Common	Categorical	Neoplasm	Additional	Breast cancer	1.0000001	BCAC	247173.0	32424353	13	4853,8170,6926,84168,5932,23316,5116,55971,64641,7227,6583,2946,10592	0.13148	0.468	189226.0	19.0	0.0961432	8.55457924074074	52.0	2202.0	88.484	1.026
obesity	EFO_0001073	GCST009700	Common	Categorical	Anthropometric	Additional	Obesity (extreme)	0.8053082		2996.0	31888951	4	257194,5209,56344,3820	-0.406535	0.7849999999999999	62203.0	9.0	0.024254825	4.717130527777776	33.5	775.5	21.691	1.0815555555555556
body mass index	EFO_0004340	GCST90103755	Common	Continuous	Anthropometric	Additional	Body mass index	1.0000001	TWB|UKB|BBJ|GERA	890751.0	35051171	4	79068,7021,65986,253959	0.6283799999999999	0.4895	155799.0	19.0	0.1488445	6.3862298703703715	53.0	1881.0	63.734500000000004	1.138
reticulocyte count	EFO_0007986	GCST004619	Common	Continuous	Hematological	Additional	Reticulocyte fraction of red cells	0.7201227		170690.0	27863252	101	25893,56952,6708,54498,3098,6311,25959,286,22978,54855,388588,91300,28969,8877,9784,10107,55553,91748,8328,6710,11322,10058,655,348,388931,220972,9775,55544,4650,27158,896,11177,22904,85413,55532,2766,4795,7036,7332,83660,55466,23645,867,148823,5313,4855,7227,6310,143872,8780,23075,8613,7037,2317,57664,8882,54726,8148,317719,4642,10801,6006,54469,64795,22837,7965,6764,23230,23179,54622,23607,8455,6239,8925,30845,129080,23240,440275,147138,51312,50650,9911,1950,9100,8660,116028,129285,759,23250,2309,10507,1523,8417,57210,545,9780,3607,161882,3308,9666,54891	-0.034796	0.696	75163.0	16.0	0.0345941	14.616154444444444	54.0	1827.0	57.589	1.056
psoriasis	EFO_0000676	GCST002874	Common	Categorical	Dermatological	Additional	Psoriasis	1.0000001		13816.0	25903422	19	64135,6773,7128,10758,3593,4843,2113,112755,57511,861,11201,23586,100529240,284119,57144,81890,25833,9853,55770	0.35347	0.771	51610.0	24.0	0.0134036	10.328982407407407	53.0	1336.0	51.279	1.026
lipoprotein A measurement	EFO_0006925	GCST90019513	Common	Continuous	Lipid Measurement	Additional	Lipoprotein (a) levels	0.8032702	UKB	284044.0	33462484	23	4018,56895,6582,6580,4142,6581,5340,3482,348,6950,4216,5819,6648,29074,39,154197,5071,84624,4059,350,56995,1071,6993	-0.55929	1.04	44492.0	29.0	0.007477724999999999	12.965818990740743	49.5	1357.0	50.465	1.0114999999999998
neutrophil count	EFO_0004833	GCST004629	Common	Continuous	Immunological	Additional	Neutrophil count	1.0000004		170702.0	27863252	73	9586,5329,1021,55636,10581,3579,56952,9487,221037,29091,1441,3557,3953,7015,2646,114548,4353,81671,30844,1440,10767,23203,3394,202243,54806,120425,6310,56997,22856,7704,10347,117289,64844,145501,11030,3172,9794,9415,2322,5890,79890,81704,25953,10336,91,63892,92370,64005,29957,136051,400954,1238,8794,2638,84888,5596,10131,93624,55213,23139,283450,8019,160140,147339,6239,10723,2113,51582,3988,64759,4733,55650,23786	0.014616	0.751	76624.0	16.0	0.0161676	10.920880903703706	54.0	1446.0	47.834	1.026
grip strength measurement	EFO_0006941	GCST005829	Common	Continuous	Muscular	Additional	Hand grip strength	0.8455306		223215.0	29691431	15	79068,64116,109,10658,8028,6925,11281,10725,2186,7916,58489,9541,55118,23518,8379	-0.13287	0.592	165828.0	20.0	0.0743766	12.4308767037037	54.0	1946.0	80.722	1.040375
lymphocyte count	EFO_0004587	GCST90025984	Common	Continuous	Immunological	Additional	Lymphocyte count	1.0	UKB	443762.0	34226706	12	23495,5341,64926,7297,4683,9368,3689,9780,54518,83706,5884,197358	-0.54206	0.9205	40336.0	21.0	0.008026095	19.483446620370373	54.0	1977.0	71.55250000000001	0.996
bilirubin measurement	EFO_0004570	GCST90448601	Common	Continuous	Hematological	Additional	Bilirubin levels	0.77659976	G&H	38000.0	39414775	9	8527,79054,151507,55230,55054,6579,10274,5002,863	-0.16675	0.951	102249.0	15.0	0.031676715	10.713976462962965	52.0	1857.0	82.7355	1.0815000000000001
mean corpuscular hemoglobin	EFO_0004527	GCST000504	Common	Continuous	Hematological	Additional	Mean corpuscular hemoglobin	0.99999994		24167.0	19862010	4	164656,896,10171,83986	-0.6157480000000001	0.8245	68625.0	12.0	0.020989405	20.880102962962958	54.0	1156.0	36.579	1.0660833333333333
total blood protein measurement	EFO_0004536	GCST005989	Common	Continuous	Metabolic	Additional	Serum total protein levels	0.76105785		113509.0	29403010	16	23495,6205,2646,7187,57333,9873,596,1435,2212,126133,6311,3899,4170,253461,2213,23203	-0.129923	0.4305	23797.5	16.5	0.07000034999999999	16.849511240740743	53.5	1496.5	42.0685	1.0255
low density lipoprotein cholesterol measurement	EFO_0004611	GCST90019512	Common	Continuous	Lipid Measurement	Additional	Low density lipoprotein cholesterol levels	0.8726377	UKB	355197.0	33462484	202	5819,348,10452,4059,3949,255738,53345,4018,26974,28,338,6597,1952,341,25959,6301,343263,3250,2646,94039,116519,23358,1785,64241,100129278,84722,10053,93436,6484,1762,7769,60526,169436,432,147841,350,3482,1071,2773,6580,6581,29989,284348,134359,10349,6582,10498,2523,10221,3172,9785,342372,9415,675,5971,51301,164,51141,125,342908,8439,6311,8701,271,114609,84875,1209,51143,728780,6272,51092,23387,3098,57535,9388,337,11129,130271,949,463,7150,28983,5608,9101,8189,5781,9516,7227,51085,6734,23369,9310,64757,84971,5578,57035,56895,29886,19,83449,5265,8854,4547,147699,6884,64240,84868,37,255809,23621,91937,3083,9033,57404,9545,10087,57153,57718,23011,2524,5335,81890,51657,57463,3995,4690,23301,51426,6006,1911,57787,23317,29881,11093,9798,10444,5125,64599,23325,746,8416,1463,125931,6814,259230,8666,65095,90362,2039,56269,81492,112812,79618,2696,64342,5468,9159,7809,54520,8647,10848,7157,2068,64116,29097,78992,130399,602,23461,2874,90634,6938,5686,22864,6462,84310,5190,3142,9577,22987,23386,162979,390940,63892,101928243,11226,10301,32,55326,157724,4074,745,146433,4676,23098,7364,55024,80207,128272,55119,10274,7771	0.056437	0.843	42628.0	16.0	0.01332305	11.970335370370371	53.0	1487.0	50.699	1.026
red cell distribution width	EFO_0009188	GCST90025988	Common	Continuous	Hematological	Additional	Red cell distribution width	1.0000001	UKB	441263.0	34226706	16	345,5337,81628,7036,2766,220972,10107,10483,7018,3043,9780,79866,10661,22948,327,57817	0.26037	1.0045	19411.5	15.5	0.00496202	26.44109592592593	52.0	1295.5	44.974500000000006	1.0013333333333334
triglyceride measurement	EFO_0004530	GCST90101748	Common	Continuous	Lipid Measurement	Additional	Triglyceride levels	0.8229789	AWI-GEN|DDS|AADM|UGR|DCC	24600.0	35546142	4	341,4023,80781,84811	-0.33271	1.0379999999999998	45179.5	24.5	0.006896055	68.0369277314815	52.0	1543.5	55.854	0.9685
eosinophil count	EFO_0004842	GCST90025987	Common	Continuous	Immunological	Additional	Eosinophil counts	0.986836	UKB	440275.0	34226706	10	1439,23765,1053,23199,3717,1232,8288,345,64926,22807	-0.50348	0.8725	28775.0	19.5	0.00936314	6.31321826388889	38.0	2349.0	50.4525	1.0190000000000001
basophil count	EFO_0005090	GCST90018946	Common	Continuous	Immunological	Additional	Basophil count	1.0000001	BBJ|UKB	441764.0	34594039	37	2078,5029,23185,51185,2131,1021,1232,85414,115727,8826,161882,7791,23199,5728,596,2334,3579,10019,4299,9586,9256,7529,4141,92797,5591,4170,79895,9315,5341,51411,9679,148113,9368,170463,113263,54518,5564	-0.18111	0.7424999999999999	83751.0	16.0	0.0407742	11.4398747037037	54.0	1376.0	39.4405	1.026
monocyte count	EFO_0005091	GCST90025950	Common	Continuous	Immunological	Additional	Monocyte count	0.9999999	UKB	443529.0	34226706	16	23765,23495,4353,9938,3394,5341,64333,1053,1462,2650,729230,9550,3205,83483,79890,1441	0.19588	0.88	24691.0	20.5	0.0085968	9.671760334259261	47.0	1308.0	45.966	1.026
sex hormone-binding globulin measurement	EFO_0004696	GCST90249533	Common	Continuous	Endocrine	Additional	Sex hormone-binding globulin levels	0.9094652	other	10708.0	34648354	3	6462,482,91851	0.187238	0.811	19436.0	16.0	0.0536818	41.63745983333333	50.0	873.0	40.6835	1.138
platelet count	EFO_0004309	GCST90018969	Common	Continuous	Hematological	Additional	Platelet count	1.0	BBJ|UKB	499097.0	34594039	275	10767,578,50650,51272,8328,221037,30845,148823,10788,26052,7171,283152,8402,91768,80305,22818,91828,81027,10257,9911,55711,2646,7015,57140,11046,9927,11176,80339,283349,7704,7168,2972,9779,54855,10954,1373,87,10109,161882,4815,350,23293,375033,164656,5899,80762,51564,6764,4084,5379,2768,2938,948,3480,196740,9727,2078,3083,81,57688,3705,23095,9522,5794,23495,2122,472,6497,9754,861,2946,9734,375449,11216,7297,6938,7874,130026,5581,85363,285527,6850,64236,23248,23365,64393,8528,85439,55619,710,23236,26190,11030,56952,147798,219654,51684,165545,9031,10428,2869,25942,10644,393,5062,30844,83874,4330,8527,80205,51773,7409,1909,84289,54922,10963,596,57142,91181,5728,254251,23143,147372,256227,7091,91851,64798,4286,9050,1385,284273,84444,83641,56987,4601,11001,29941,79991,23135,9844,342346,29940,10666,59352,8942,57484,60485,4067,25,57710,84059,79987,2130,64855,55967,29966,64147,11235,85302,2115,84619,4782,165324,57337,9497,57139,23240,54890,89795,3987,51741,1787,55214,1602,80853,1956,10320,64651,84456,80323,55127,57623,11322,832,80821,9640,2207,5297,9466,79056,1021,3732,131669,9274,23243,23613,6614,23205,79683,152815,80329,79827,326624,729359,85440,399818,23264,653857,5023,5998,653583,11264,221188,9967,387836,23677,10059,9462,5265,80031,9792,5340,10673,23052,11253,6565,153222,3547,4898,5915,130507,56776,6238,23526,3205,11060,1912,252983,8613,23019,2222,25966,23635,5447,7227,978,55284,120114,3185,27246,23460,23233,28234,132,56829,399671,3680,64641,54840,64359,4217,79820,4772,7764,245802,775,4781,7805,10846,6480,134957,30011,56521,57343,100131211	0.16825	0.658	94776.0	15.0	0.041612949999999996	12.04598898148148	53.0	1665.5	54.579	1.0678636363636365
HDL cholesterol change measurement	EFO_0007805	GCST90244005	Common	Continuous	Lipid Measurement	Additional	HDL cholesterol levels	0.84022176	Ansan|Ansung|HEXA|CAVAS|BBJ	288127.0	36333282	41	84811,4023,19,9388,341,217,4775,7227,80790,100128927,196383,1435,9489,50999,84103,4018,23161,84649,10499,5468,6641,22795,64757,4607,2140,26137,4356,3626,6238,5184,64324,55959,93210,80205,26751,2222,4299,4301,3838,1021,84959	-0.13193	0.739	65542.0	15.0	0.0150929	11.896110185185185	53.0	1617.0	52.318	1.026
platelet component distribution width	EFO_0007984	GCST90002401	Common	Continuous	Hematological	Additional	Platelet distribution width	0.96663564	UKB	408112.0	32888494	302	81027,30845,26052,55619,23143,514,7171,8882,148823,342618,10666,8528,25893,8997,5339,11252,7277,8402,7168,10954,10109,8328,23236,90459,1523,81671,22818,84289,55604,54453,6251,85377,23199,10184,163259,2207,79683,830,10867,4815,81704,2812,55711,7409,7874,9717,57140,51272,79774,23075,5029,10019,91828,9844,54855,55843,51603,29072,91181,9754,2869,10723,83641,64116,80005,79987,6497,23261,79820,722,28,6902,9727,64122,2815,2590,22899,221037,87,153830,7094,440275,79748,10420,136319,9605,113444,375033,51012,23191,5341,2309,56998,5880,6484,9497,3480,84687,23243,7294,23215,57178,55578,57794,6891,84449,11280,51429,6708,9874,10520,11176,9734,10653,1950,4292,116028,27147,55643,221927,80314,10046,94121,10791,1956,896,161882,10395,221395,50650,5834,421,1787,26051,111,1282,3964,25862,8451,81570,976,128611,4023,2035,8871,220963,63893,222484,8347,56952,2130,4300,130814,147968,5468,2932,9351,23648,5336,1207,9046,10411,55871,374655,57506,10673,64393,9444,123041,79890,2122,6786,26119,54932,80301,1909,140688,10806,220164,2533,51092,3097,23294,55614,255877,83874,25942,3783,9958,8821,23240,158471,84632,1399,8891,4676,160140,6184,4026,55752,440854,5062,3106,54456,7456,9520,23140,26130,10180,445815,57523,54536,7148,5990,4055,60678,51564,4778,80781,133746,2119,23176,57561,8395,11214,1759,64359,120892,55589,80119,149499,26030,57580,5899,10801,9473,4650,284119,7186,51526,9846,5794,8726,64744,22821,284,1373,4520,4862,51592,2768,3673,9612,140876,1522,4690,200728,132660,57153,8398,2324,54810,857,54806,4846,55727,50807,5358,55785,506,79628,79087,7465,8609,10788,55214,10146,63976,22837,1281,5915,22797,4306,3131,775,23348,1725,29911,54014,2050,83439,27246,25853,11102,3241,65986,10000,54454,399818,7454,2172,4253	0.085318	0.6895	96452.0	15.0	0.0316949	15.064985722222218	54.0	1787.0	57.515	1.0633333333333332
cystatin c measurement	EFO_0004617	GCST90100559	Common	Continuous	Renal	Additional	Cystatin C plasma levels	0.77524614	UKB	460858.0	34899825	12	10047,57619,6311,339965,7053,80018,5781,10913,80724,23316,54828,8078	0.399125	0.514	93234.0	14.0	0.060134900000000005	9.295288518518516	47.5	2590.5	85.0915	1.0513333333333335
total cholesterol measurement	EFO_0004574	GCST90025953	Common	Continuous	Lipid Measurement	Additional	Total cholesterol levels	0.8559607	UKB	437878.0	34226706	8	338,255738,9388,29886,3949,2244,19,949	0.34076	0.726	43523.0	55.0	0.01533415	11.506377703703706	33.0	1800.5	57.1635	1.0161785714285714
alkaline phosphatase measurement	EFO_0004533	GCST90025947	Common	Continuous	Metabolic	Additional	Serum alkaline phosphatase levels	0.8213917	UKB	437896.0	34226706	16	249,2822,168850,432,32,5310,5105,2217,5465,8647,29948,283358,8792,9971,28999,4286	-0.0979845	0.7835	69826.5	31.5	0.012967800000000002	10.377734019444445	50.5	1441.5	50.452	1.026
Alzheimer disease	MONDO_0004975	GCST90301303	Common	Categorical	Neurological	Additional	Alzheimer's disease	0.9692151	FinnGen	644188.0	37198259	44	1191,10347,64231,83464,6653,5379,3635,123041,57091,81619,2896,1636,2185,79865,23607,7473,351,8448,255426,10979,5336,375686,399,146547,1508,57455,221895,9507,54664,130026,9881,729852,53373,59338,19,10616,10318,29760,56731,6642,3382,23683,114132,1512	0.12847999999999998	0.741	57658.0	18.0	0.0308297	12.414584259259255	53.0	1546.0	54.3005	1.0446666666666669
basophil count	EFO_0005090	GCST90025997	Common	Continuous	Immunological	Additional	Basophil count	1.0000001	UKB	438607.0	34226706	3	8288,51411,9368	0.51876	0.984	20725.0	18.0	0.00176014	10.196876816666666	48.0	1629.0	56.138	1.021
body mass index	EFO_0004340	GCST90446645	Common	Continuous	Anthropometric	Additional	Body mass index	1.0000001	UKB|GIANT	650000.0	39375568	397	79068,9369,2696,25970,134359,5607,4160,23211,2119,4486,158038,115,64771,55705,131034,203238,627,84148,65125,55596,84871,9866,146760,23705,7920,64116,23373,286046,8028,5071,29951,4238,5915,2309,6934,57521,744,5649,10452,79893,9472,7187,374470,8631,6886,55024,10207,57578,1795,55118,10642,339479,23047,204474,8312,219402,1072,3096,64901,54805,4140,5874,6514,80309,121793,137868,170506,5137,127579,266722,23112,149428,161357,104,2322,23635,23660,23312,1488,54796,23031,54858,8545,25839,7227,153241,2186,55229,51274,58489,65220,197358,3146,596,2065,1644,55843,54881,2894,6660,29945,140733,57698,26575,57104,5930,7690,57794,221035,29789,3145,5798,1373,9320,84186,8618,22997,23293,5587,23266,23338,201501,463,56899,54926,55924,10283,55534,55743,23042,9378,1012,2792,55689,51319,9863,3097,5686,9910,22989,4913,29855,2475,6251,8604,2801,57142,83851,4010,282973,157807,22854,124274,9252,10000,10274,132,6581,84068,10458,83637,8379,93664,23499,5099,29942,1496,26053,64478,51312,80816,6746,9745,50863,10238,53349,5025,23261,9429,25825,85464,84929,1806,55137,130026,54496,40,776,10485,160760,4915,3757,55227,1740,26059,7813,1307,161725,5334,27327,55735,5142,5961,80031,55140,11083,255928,22837,950,253559,2581,6092,57452,4978,8085,57706,102,80790,54477,64919,30813,10973,3017,8821,79772,54986,57688,54715,116987,284001,80036,283450,114800,56829,10777,201562,22852,4684,25989,57695,7534,2673,23648,138046,26043,5937,116985,10231,9379,53353,8609,11052,26040,54832,22808,347902,152002,26289,127602,340895,1981,1871,84456,8170,55209,5891,2895,10368,7991,797,4987,5778,375449,221692,8633,324,144347,6599,3084,203062,5289,9162,6925,8541,154215,79823,7802,221955,389766,9686,4045,56935,26137,5314,85457,1826,2066,5096,3899,55643,64405,401145,5468,51115,116443,111,2632,5789,79834,7803,25862,11281,56288,100874028,83698,775,27324,2165,1839,51032,55084,9692,4783,8546,2131,1630,27164,9846,8723,4077,83938,571,221895,2890,84440,5049,81624,64326,57690,57451,9448,10783,3062,5527,3480,5451,114784,23043,54970,23225,59269,50614,23236,4008,5578,4131,338811,26047,57493,57648,79750,8856,1600,56987,2047,55291,5101,5592,25987,54622,3908,399687,6095,686,5295,2776,23269,27132,8715,1912,10806,51397,7529,93,10036,6667,23081,23550,1174,4745,80028,256130,6050,140901,5126,64710,3778	0.078983	0.573	176157.0	13.0	0.06437245	8.908173518518518	52.0	1893.0	62.387	1.128
reticulocyte count	EFO_0007986	GCST90002406	Common	Continuous	Hematological	Additional	Reticulocyte fraction of red cells	0.7201227	UKB	408112.0	32888494	268	6708,56952,54498,25893,286,7866,3098,25959,54805,54855,163,6521,896,164656,283450,9968,165324,91300,388588,5313,5193,348,2646,6710,27102,55544,8877,220972,57153,55870,10107,10058,51085,8328,8882,85413,8780,10788,2766,7227,9775,27158,7036,23585,57664,83660,10025,23645,6006,7332,23075,10801,147138,6764,759,9780,64795,857,8019,26046,8683,23230,22904,55252,147339,11177,4650,92521,28969,2035,55466,55833,3040,9911,4023,50650,10393,129080,7965,91748,8578,55175,23205,92346,867,84196,2317,9091,116028,55532,342618,3182,81027,8131,4642,29091,3308,10095,9100,8455,9960,8277,7145,9885,388931,2138,7037,161882,11322,11328,63893,162,2222,148823,3042,3839,1523,2309,23250,1950,490,10327,23179,8660,256281,506,4790,54622,30845,10507,23555,23505,55553,272,23112,57695,3732,51274,23236,51571,23367,147372,29097,6727,114900,445815,23052,493,1955,23078,196740,6405,6553,5937,57140,645,135112,8850,284086,55692,8976,9967,54810,641649,3643,6494,6239,10392,6614,64420,210,51621,8178,54815,51129,27236,2995,596,84561,26065,26040,23240,1500,8576,53834,30844,54454,83855,23654,23224,5866,79148,79707,80177,3676,4248,5244,79961,284904,57605,10212,8315,55664,60490,1838,11138,284,1870,19,84525,60,83483,6667,722,152485,4627,11124,10791,23293,9645,64283,8938,5794,23526,84281,57673,10422,8698,168850,64798,56848,7979,10599,5029,9792,5140,100507436,9180,55621,124935,1398,65220,1029,5336,1879,23037,9663,55297,140688,91833,8632,8879,51421,10723,55589,284451,79722,79731,9938,79948,4605,5290,144347,23185,11188,10666,10991,5337	0.126645	0.751	66467.0	14.0	0.02831265	14.43099333333333	54.0	1736.0	54.909000000000006	1.0293145161290322
coronary artery disease	EFO_0001645	GCST90449059	Common	Categorical	Cardiovascular	Additional	Coronary artery disease (MTAG)	0.7308495	(Multiple cohorts)	640258.0	39537608	32	221692,4018,1952,65065,10933,6597,8613,1029,375056,3988,28,57608,490,348,1284,4846,3570,22808,4088,2982,6582,23075,3949,84273,22978,2242,64241,7145,54828,23293,1909,152273	-0.111737	0.5994999999999999	97641.0	23.5	0.0393248	14.496636944444447	52.5	2059.5	70.122	1.0335999999999999
crohn's disease	EFO_0000384	GCST004132	Common	Categorical	Gastrointestinal	Additional	Crohn's disease	1.0		40266.0	28067908	63	64127,55054,64170,4485,5771,22904,120892,4088,8209,7332,57178,3460,64167,1390,150962,11262,144811,11140,8477,80762,6774,2524,63892,163486,2646,55765,1326,4026,1012,84870,4055,60468,91869,56833,54901,3559,8844,55024,5334,81619,253461,109,116028,896,55612,10067,9180,1611,128611,50939,8454,6097,6311,3664,150280,51174,399818,11315,260425,339210,85440,79722,27086	0.19334	0.769	80810.0	16.0	0.0153643	7.564260185185185	53.0	1441.0	52.708	1.0633333333333337
diastolic blood pressure	EFO_0006336	GCST90132904	Common	Continuous	Cardiovascular	Additional	Diastolic blood pressure	1.0000001	UKB|ICBP	526001.0	35762941	256	6311,1185,79748,5781,23316,2242,783,64116,57139,490,2122,3643,22978,8550,4633,55024,7482,57480,7917,54986,54897,7369,4046,6568,5076,4343,8482,22834,10806,6499,466,55553,81846,4134,84316,22895,10801,255743,6494,23075,2201,1800,28,283450,5314,153241,9351,51684,4855,4650,346171,144100,23236,253461,285025,128710,84108,121006,55023,7323,152273,57580,63976,6259,431705,9531,64641,3659,57609,2028,29855,4836,51312,109,90637,6541,898,1366,93166,50650,79628,57546,11201,10335,134359,6919,11077,2778,10198,4482,58489,51422,54805,81570,7145,56996,51196,7024,9258,84329,272,23269,4291,221037,8654,10919,7042,84133,80790,57223,26040,55365,7871,221035,23683,55105,80331,22808,4846,54510,84181,5530,8658,55107,5795,9644,10846,57794,79875,25861,776,5596,90342,23414,57553,3269,79109,22986,63895,10590,3693,80714,79987,4773,51564,79346,7421,11264,9526,22906,10019,9612,4897,10533,4012,253959,123920,8425,445815,4140,6645,63891,79096,59269,288,79969,80816,8945,11173,57787,7525,143872,8110,6546,84260,26289,387119,10418,137682,3397,25921,79903,4194,51654,22877,51458,8315,55567,51176,4137,5420,10428,8814,152110,29128,140775,23168,5581,64333,10906,79991,28981,775,8347,9033,27148,9728,57623,90993,26579,79612,6801,23293,10150,56990,80018,7273,79153,9776,374383,7107,2843,2524,26608,7015,10144,4208,136371,9254,3710,55691,26056,83478,25885,55137,57082,28969,222553,5747,100507679,6599,5080,23233,11119,10301,4905,1373,153396,57419,115,144715,440275,8613,5049,167227,28996	0.14272	0.671	109764.0	16.0	0.0375931	11.309522592592591	53.0	1942.0	65.019	1.054
psoriasis	EFO_0000676	GCST002738	Common	Categorical	Dermatological	Additional	Psoriasis	1.0000001		12244.0	25574825	12	10318,7128,6773,9825,90134,9692,23586,2524,9844,54620,81890,55770	0.5084299999999999	0.5195000000000001	44680.0	16.0	0.04843135	15.37724101851852	54.0	1784.0	79.763	1.026
neutrophil count	EFO_0004833	GCST90448621	Common	Continuous	Immunological	Additional	Neutrophil count	1.0000004	G&H	38000.0	39414775	7	1021,55876,127700,9586,22806,9768,2646	0.38451	0.97	34624.0	13.0	0.0288727	3.960574148148148	50.0	1195.0	37.447	1.0750000000000002
breast cancer	MONDO_0007254	GCST90027052	Common	Categorical	Neoplasm	Additional	Breast cancer	1.0000001	UKB	149186.0	34290314	25	152110,80129,79728,57591,1879,8028,440193,348980,595,57178,5890,4046,11101,124359,79915,7436,388403,23245,120,27122,89874,841,168391,23136,5195	-0.097242	0.687	158470.0	14.0	0.0428237	9.012840444444446	51.0	1795.0	64.159	1.05
obesity	EFO_0001073	GCST009382	Common	Categorical	Anthropometric	Additional	Childhood obesity	0.7964684		28604.0	31504550	20	79068,23017,109,7021,2825,2395,4928,196074,58155,22832,83716,3084,283111,57482,84433,56547,6817,63976,168667,143384	-0.0046659999999999965	0.7324999999999999	102737.5	16.0	0.011514135	5.020157091666668	47.5	1278.5	54.141000000000005	1.0556875
lipoprotein A measurement	EFO_0006925	GCST003127	Common	Continuous	Lipid Measurement	Additional	Lipoprotein (a) levels	0.80327034		2895.0	26377243	4	4018,94120,5071,84947	-0.62026	1.1764999999999999	123827.5	13.0	0.0007881365	3.2536969694444444	44.5	1782.5	64.618	0.8638333333333333
c-reactive protein measurement	EFO_0004458	GCST002086	Common	Continuous	Hepatic	Additional	C-reactive protein	0.8297709		6692.0	23844046	3	10452,6927,3953	0.14206	0.477	23969.0	22.0	0.083701	5.0660652407407385	48.0	1857.0	63.367	1.026
glucose measurement	EFO_0004468	GCST90018735	Common	Continuous	Metabolic	Additional	Glucose levels	0.7809682	BBJ	133336.0	34594039	10	3784,8647,2646,2645,54901,10807,6514,217,6928,1954	-0.2187395	0.862	54058.5	20.5	0.00631385	5.362466328703702	32.0	1533.0	51.674499999999995	1.026
basophil count	EFO_0005090	GCST90018726	Common	Continuous	Immunological	Additional	Basophil count	1.0000001	BBJ	91908.0	34594039	13	1053,399939,85414,2131,5728,23199,79895,161882,1997,4299,4170,3676,346171	0.031080000000000024	0.6705000000000001	83751.0	15.0	0.0407742	10.628355981481482	54.0	1662.0	42.547	1.026
systolic blood pressure	EFO_0006335	GCST004776	Common	Continuous	Cardiovascular	Additional	Systolic blood pressure	1.0000001		150134.0	28739976	39	3643,490,7148,54805,286046,4524,255743,54897,64641,58489,9570,128611,4792,2242,1445,27129,2122,4482,143872,10801,64116,83478,783,23414,151126,2055,5927,1107,91012,51196,4343,5913,57480,4134,24149,144100,4925,2982,7917	0.13758	0.639	135732.0	20.0	0.0375931	9.32323924074074	52.0	1846.0	73.665	1.054
heel bone mineral density	EFO_0009270	GCST006288	Common	Continuous	Skeletal	Additional	Heel bone mineral density	1.0000002		142487.0	28869591	135	51384,80129,84870,2099,56776,85415,65084,652,7979,6711,125228,358,23293,4140,23705,4038,54828,23348,83999,79026,7227,4041,389170,9586,222255,219931,128710,25894,64231,79974,221895,473,7482,8792,5727,2138,22904,55532,3632,4223,6546,10014,2037,2139,8312,168850,399909,143098,79948,26059,387755,26052,29,28,6764,6239,182,653,8313,64784,83737,23013,6913,1601,84456,5924,4323,6507,23187,162282,90025,10801,84898,135228,25791,283358,10533,9033,775,5586,83478,11098,4772,84316,3207,152485,27115,63892,8289,3508,56916,130026,6934,9423,5396,80790,4684,11100,10082,84896,64855,2475,4093,1456,27332,1316,8738,4088,23405,84444,650,8777,84440,3728,57478,8671,54796,389400,57597,5915,3490,79068,2487,968,85461,23092,79083,25777,79864,11278,9415,55553,23345,100505879,1588	0.12145	0.5589999999999999	131410.0	17.0	0.0598241	10.305517681481485	52.0	1941.5	66.5795	1.0999999999999999
grip strength measurement	EFO_0006941	GCST90007527	Common	Continuous	Muscular	Additional	Low hand grip strength (60 years and older) (EWGSOP)	0.7043723	ARIC|BASE-II|BPROOF|CHS|EPIC-Norfolk|FHS|HRS|InCHIANTI|LASA I|LASA II|Long Life Family Study|MrOS Gothenburg|MrOS Malmo|ROSMAP 1|ROSMAP 2|RS|RSI|RSII|SHIP|TSHA|UKB|WLS|	135468.0	33510174	5	8200,10301,8854,5310,54808	-1.194525	0.6455	424960.0	30.0	0.0652549	7.073330107407407	33.0	1500.0	69.5075	1.127875
