Trait	Log2SizeOE	-logCOLOC p	Test Annotation	Test	TraitC	TraitR	Repeat	SizeOE	Network
GO:0005741	1.4813763932352333	250.0	0.75	Relevance-GO			2.0	2.792149893713189	PCNet2.0
GO:0005741	1.2660344490940283	174.7705741520793	0.75	Relevance-GO			3.0	2.404995924306627	PCNet2.0
GO:0005741	1.5864727001390344	250.0	1.0	Relevance-GO			1.0	3.0031420156348556	PCNet2.0
GO:0005741	1.6810884530616148	250.0	1.0	Relevance-GO			2.0	3.206697917395462	PCNet2.0
GO:0005741	1.7267505410560346	250.0	1.0	Relevance-GO			3.0	3.30981490889742	PCNet2.0
GO:0005840	-0.1191539900347042	0.7627076624325413	0.0	Relevance-GO			1.0	0.9207274155795262	PCNet2.0
GO:0005840	-0.2038460185786309	1.4194171231856327	0.0	Relevance-GO			2.0	0.8682328907048008	PCNet2.0
GO:0005840	0.2540618100189894	2.818442226137213	0.0	Relevance-GO			3.0	1.192559964607898	PCNet2.0
GO:0005840	0.8597715375564434	45.82073553566097	0.25	Relevance-GO			1.0	1.8147509073754535	PCNet2.0
GO:0005840	0.9109187281281216	64.85263289220622	0.25	Relevance-GO			2.0	1.8802424816415215	PCNet2.0
GO:0005840	0.4643137113199	13.572838597074034	0.25	Relevance-GO			3.0	1.3796608938750317	PCNet2.0
GO:0005840	1.5476533818048703	250.0	0.5	Relevance-GO			1.0	2.9234124408739834	PCNet2.0
GO:0005840	1.5664047480579033	250.0	0.5	Relevance-GO			2.0	2.961657372359791	PCNet2.0
GO:0005840	1.7000870562645207	250.0	0.5	Relevance-GO			3.0	3.2492056456898863	PCNet2.0
GO:0005840	2.081383036706325	250.0	0.75	Relevance-GO			1.0	4.232127338573418	PCNet2.0
GO:0005840	2.078743820628428	250.0	0.75	Relevance-GO			2.0	4.224392309422679	PCNet2.0
GO:0005840	1.9011747512035075	250.0	0.75	Relevance-GO			3.0	3.735172187333252	PCNet2.0
GO:0005840	2.4749711184869256	250.0	1.0	Relevance-GO			1.0	5.559561580617249	PCNet2.0
GO:0005840	2.595527523556502	250.0	1.0	Relevance-GO			2.0	6.044099972264169	PCNet2.0
GO:0005840	2.477359838439171	250.0	1.0	Relevance-GO			3.0	5.568774363387841	PCNet2.0
GO:0005882	-0.1412866800805055	0.8887374863409347	0.0	Relevance-GO			1.0	0.9067101373087108	PCNet2.0
GO:0005882	0.1296008870750545	1.0052870145684298	0.0	Relevance-GO			2.0	1.0939910133458521	PCNet2.0
GO:0005882	-0.2123197475784247	1.9344202852715515	0.0	Relevance-GO			3.0	0.8631482359893935	PCNet2.0
GO:0005882	1.0218814600103645	68.79914950190893	0.25	Relevance-GO			1.0	2.030565352142781	PCNet2.0
GO:0005882	0.8485379244541267	39.49948908947366	0.25	Relevance-GO			2.0	1.8006751356383228	PCNet2.0
GO:0005882	1.0535533417614191	71.23225063265443	0.25	Relevance-GO			3.0	2.0756358249575833	PCNet2.0
GO:0005882	1.5969558369317347	202.5073792779568	0.5	Relevance-GO			1.0	3.025043392015869	PCNet2.0
GO:0005882	1.6167962831476723	211.31740370853944	0.5	Relevance-GO			2.0	3.0669322202682374	PCNet2.0
GO:0005882	1.709056352906432	250.0	0.5	Relevance-GO			3.0	3.269469019724768	PCNet2.0
GO:0005882	2.397990700609694	250.0	0.75	Relevance-GO			1.0	5.270685832796968	PCNet2.0
GO:0005882	2.2310315784628765	250.0	0.75	Relevance-GO			2.0	4.6946954719482985	PCNet2.0
GO:0005882	2.247737441145389	250.0	0.75	Relevance-GO			3.0	4.7493742378537975	PCNet2.0
GO:0005882	2.7242347823926947	250.0	1.0	Relevance-GO			1.0	6.608096625394513	PCNet2.0
GO:0005882	2.661982618008297	250.0	1.0	Relevance-GO			2.0	6.329022155202413	PCNet2.0
GO:0005882	2.734199772640438	250.0	1.0	Relevance-GO			3.0	6.653898100739408	PCNet2.0
GO:0006643	-0.1174668944853796	0.6931462513069913	0.0	Relevance-GO			1.0	0.9218047491019181	PCNet2.0
GO:0006643	-0.0389086754432246	0.1870866433571444	0.0	Relevance-GO			2.0	0.9733909891805573	PCNet2.0
GO:0006643	0.0309371143239481	0.1295960947209729	0.0	Relevance-GO			3.0	1.0216755478985537	PCNet2.0
GO:0006643	0.8442965529409767	40.56019378860667	0.25	Relevance-GO			1.0	1.7953891143200418	PCNet2.0
GO:0006643	0.804194863870148	35.33677036546713	0.25	Relevance-GO			2.0	1.746171020510994	PCNet2.0
GO:0006643	0.961658373023609	55.02466011539454	0.25	Relevance-GO			3.0	1.9475473076094794	PCNet2.0
