	log2COLOC_norm	log2COLOC	Prediction	Residual
31367044_EFO_0004458_GCST90018950_EFO_0004458	0.6547911547911548	1.416694346803968	0.5502318142514778	0.10455934053967697
31367044_EFO_0004458_GCST90025959_EFO_0004458	0.8574938574938574	1.843251900215836	0.8516397468557193	0.005854110638138121
31367044_EFO_0004458_GCST90029070_EFO_0004458	0.6124078624078624	1.3120901094128334	0.5400903747643286	0.07231748764353374
31367044_EFO_0004502_GCST001463_EFO_0004502	0.5245700245700246	1.0289968977864985	0.7509422704366708	-0.22637224586664628
31367044_EFO_0004502_GCST002233_EFO_0004502	0.6922604422604423	1.5084225851355653	0.7941511562955823	-0.10189071403514005
31367044_EFO_0004502_GCST003096_EFO_0004502	0.08108108108108109	-0.3248218960461702	0.3132589910954605	-0.23217791001437943
31367044_EFO_0004502_GCST012168_EFO_0004502	0.06941031941031942	-0.3753058402658783	0.36060772881339936	-0.2911974094030799
31367044_EFO_0004502_GCST90293085_EFO_0004502	0.605036855036855	1.274469802768597	0.7033742149917199	-0.09833735995486492
31367044_EFO_0004574_GCST006614_EFO_0004574	0.7266584766584766	1.5920557741572046	0.6691215807949169	0.0575368958635597
31367044_EFO_0004574_GCST90018974_EFO_0004574	0.6891891891891891	1.5026865589775484	0.6367480868817561	0.05244110230743304
31367044_EFO_0004574_GCST90025953_EFO_0004574	0.9103194103194103	1.9472094380749527	0.9124899004335225	-0.002170490114112189
31367044_EFO_0004574_GCST90239673_EFO_0004574	0.7242014742014742	1.5826444523559977	0.6335130405704789	0.09068843363099532
31367044_EFO_0004574_GCST90244008_EFO_0004574	0.6523341523341523	1.4125610843346306	0.716205324115616	-0.06387117178146373
31367044_EFO_0004611_GCST90002412_EFO_0004611	0.6726044226044225	1.461335832595548	0.4185384271664845	0.25406599543793806
31367044_EFO_0004611_GCST90019512_EFO_0004611	0.8802211302211304	1.892918819624705	0.7209555645638454	0.159265565657285
31367044_EFO_0004611_GCST90239612_EFO_0004611	0.7776412776412777	1.6885621964719515	0.796803744194742	-0.01916246655346432
31367044_EFO_0004611_GCST90239655_EFO_0004611	0.7481572481572482	1.640816581224552	0.6284312570614318	0.11972599109581639
31367044_EFO_0004611_GCST90278638_EFO_0004611	0.667076167076167	1.4513855943827896	0.7178006959465031	-0.05072452887033607
31367044_EFO_0004614_GCST010241_EFO_0004614	0.8212530712530787	1.769190354128912	0.6750416583879882	0.14621141286509043
31367044_EFO_0004614_GCST90019495_EFO_0004614	0.8753071253071253	1.8820212761057684	0.7761891625353239	0.0991179627718014
31367044_EFO_0004614_GCST90025955_EFO_0004614	0.9711302211302211	2.1712008416929693	0.9500677460648383	0.021062475065382724
31367044_EFO_0004614_GCST90091649_EFO_0004614	0.9293611793611793	2.0033274067179128	0.8554950114485569	0.07386616791262246
31367044_EFO_0004614_GCST90301945_EFO_0004614	0.8464373464373465	1.82219431863464	0.8621959419978443	-0.015758595560497857
31367044_EFO_0005001_GCST90010736_EFO_0005001	0.9821867321867321	2.266730864548588	0.844058257570808	0.13812847461592415
31367044_EFO_0005001_GCST90092936_EFO_0005001	0.9207616707616707	1.967532119398524	0.7747824374244984	0.14597923333717233
31367044_EFO_0005001_GCST90269565_EFO_0005001	0.9330466830466843	2.0243322043785006	0.7482773325034695	0.18476935054321475
31367044_EFO_0005001_GCST90302070_EFO_0005001	0.976044226044226	2.2148819685554555	0.7953610455708195	0.18068318047340648
31367044_EFO_0005058_GCST90010741_EFO_0005058	0.11916461916461916	-0.2006764332686815	0.2681710220779766	-0.14900640291335743
