trait_pair	density_R	density_C	assortativity_RC	binary	jaccard	jaccard_zero	n_rare	n_common	N_C	N_R	log2SizeOE	Mean_LOEUF	DiffRC_LOEUF	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues
36809768_EFO_0004536_GCST90019522_EFO_0004536	0.0321896538665454	0.0587507730364873	0.0050987261872525	0	0.1196581196581196	0	163	99	325292.0	359796.0	1.811114544547955	2.6833908396946566	-0.2680051906856031	14.511450381679388	-0.26666666666666666	36913.71755725191	-0.7963610574454036	13.126913690793753	0.29977797534536565	53.2442748091603	0.03773584905660377
36809768_EFO_0004536_GCST90448632_EFO_0004536	0.0321896538665454	0.0666666666666666	0.0027583066068925	0	0.0242424242424242	0	163	6	38000.0	359796.0	1.7192932893506196	2.374540946745562	0.39121428189295554	12.751479289940828	0.7368421052631579	24837.710059171597	-0.23147682357168523	14.467645047167434	0.19930563794813044	53.27218934911242	0.4685714285714286
36809768_EFO_0004541_GCST90256420_EFO_0004541	0.033901689094757	0.0462534690101757	0.0049758995004159	0	0.0996978851963746	0	317	47	144060.0	392479.0	1.711827687983716	2.159025412087912	-0.2642644524518252	14.0	0.0	30478.82967032967	-0.3321538505796726	12.201240475577432	-0.049357497162041755	54.0	0.0
36809768_EFO_0004570_GCST000386_EFO_0004570	0.0656767561393489	0.1666666666666666	0.0138336465170223	0	0.0094339622641509	0	103	4	9464.0	391694.0	1.7687000508390205	1.4346285794392524	3.1863371041514057	15.074766355140186	-0.125	46663.3831775701	-0.8418683762920319	5.8247691808584285	-0.2159267011673398	37.41121495327103	-0.25882352941176473
36809768_EFO_0004570_GCST90018973_EFO_0004570	0.0656767561393489	0.0308551278283867	0.0118023595187488	0	0.1204819277108433	0	103	83	467170.0	391694.0	1.8613978619793068	2.186129569892473	-0.6741904908854454	16.338709677419356	-0.18181818181818182	61753.596774193546	-0.6139379751493467	8.316663221326163	-0.6611597213590729	44.13978494623656	-0.35555555555555557
36809768_EFO_0004570_GCST90025973_EFO_0004570	0.0656767561393489	0.6	0.0155601544766657	0	0.0560747663551401	0	103	10	436055.0	391694.0	1.649602596857973	1.5541646017699116	-0.3187846770925048	15.752212389380531	-0.44155844155844154	43087.38053097345	0.35139730103070876	5.451507747132087	0.9163508016455673	34.30088495575221	1.4022988505747127
36809768_EFO_0004570_GCST90278643_EFO_0004570	0.0656767561393489	0.1071428571428571	0.0137542879987534	0	0.018348623853211	0	103	8	92615.0	391694.0	0.9550718934882984	1.7367522522522523	-1.0362441916359557	15.108108108108109	-0.09523809523809523	56159.51351351351	-1.3020605205214282	6.547280004170837	-0.9643205799285897	38.22522522522522	-0.37362637362637363
36809768_EFO_0004570_GCST90448601_EFO_0004570	0.0656767561393489	0.0	0.0147724945766159	0	0.0275229357798165	0	103	9	38000.0	391694.0	1.6499863492696707	1.5227687500000002	-0.14626930070576638	15.0	0.0	48917.99107142857	-0.7916481806330073	6.169613840277778	-0.5994528653608187	38.205357142857146	-0.33707865168539325
36809768_EFO_0004574_GCST006614_EFO_0004574	0.1349527665317139	0.0715189873417721	0.010247698548696	0	0.0530973451327433	0	39	80	297626.0	393339.0	1.6562235118410515	2.2626747899159665	-0.924405051617696	17.008403361344538	-0.08955223880597014	55070.008403361346	-0.5643171301484835	10.45730339568939	-0.45188412638197034	43.8235294117647	-0.717948717948718
36809768_EFO_0004574_GCST90018974_EFO_0004574	0.1349527665317139	0.0435897435897435	0.0090861107819035	0	0.0510948905109489	0	39	105	480086.0	393339.0	1.650593757117479	2.3543250000000007	-0.9202283598210153	16.0	0.0	60326.291666666664	-0.632416018219776	10.278727429359568	-0.40358984109816465	46.145833333333336	-0.7341772151898734
36809768_EFO_0004574_GCST90025953_EFO_0004574	0.1349527665317139	0.5714285714285714	0.0143087967420065	0	0.119047619047619	0	39	8	437878.0	393339.0	1.8658713006255008	1.3500319148936173	-0.9133118521681742	22.638297872340427	-1.0985915492957747	37304.574468085106	-0.1884050683829445	8.190187040464933	-0.42031631731115493	26.361702127659573	-0.27586206896551724
36809768_EFO_0004574_GCST90239673_EFO_0004574	0.1349527665317139	0.0363455809334657	0.0092858789636538	0	0.0304054054054054	0	39	266	1654960.0	393339.0	1.5768103049576974	2.6166144262295084	-0.9222930917211021	16.0	0.0	68262.96721311475	-0.6780531655322974	11.265502622993326	-0.4456349821690461	50.291803278688526	-0.7341772151898734
36809768_EFO_0004574_GCST90244008_EFO_0004574	0.1349527665317139	0.0659932659932659	0.0151893987254389	0	0.0329670329670329	0	39	55	288127.0	393339.0	1.4190333391062442	1.926013829787234	-0.8327263629034499	17.170212765957448	-0.11764705882352941	51004.79787234042	-0.5242030454773535	9.705331218715523	-0.3997568280303007	40.797872340425535	-0.7012987012987013
36809768_EFO_0004614_GCST010241_EFO_0004614	0.1381642512077294	0.0308503979254225	0.0083655242444059	0	0.0617283950617283	0	46	212	393193.0	98147.0	1.78176179444165	2.638843023255814	-0.3633381654268997	15.713178294573643	0.23529411764705882	76233.18992248063	-1.1083212847832373	15.492510649583691	0.30342558281619497	53.82170542635659	-0.018691588785046728
36809768_EFO_0004614_GCST90019495_EFO_0004614	0.1381642512077294	0.0482606565409113	0.0077218540350267	0	0.1340782122905028	0	46	157	323833.0	98147.0	1.9317332831009897	2.551202463054188	-0.3423960219905052	17.45320197044335	0.1111111111111111	44634.25615763547	-0.6712981683913265	15.658374331143955	0.31089012396847404	53.0	0.0
36809768_EFO_0004614_GCST90025955_EFO_0004614	0.1381642512077294	0.4071146245059288	0.0177755119982268	0	0.1694915254237288	0	46	23	398508.0	98147.0	1.9550654680250248	1.9763666666666668	-0.06444508402888138	22.333333333333332	-0.4166666666666667	36675.0	-0.8205553692163751	17.185676555555553	0.48842801179909484	48.0	0.32967032967032966
