Entrez	Mean_mRNA	n_Expressed
6281.0	191.4140562962963	54
3309.0	191.04774814814812	54
1831.0	190.19609074074083	54
3507.0	190.00418964814813	36
1192.0	189.59200722222218	54
3916.0	189.03387222222221	54
283131.0	188.4317842592593	54
396.0	188.42374629629631	54
23787.0	188.2178296296296	54
5176.0	187.1790605555556	54
2783.0	185.0338388888889	54
1727.0	184.8669222222222	54
1917.0	184.83791549999998	48
10971.0	184.61042037037035	54
5552.0	184.304462962963	54
125.0	184.28335022222225	43
11315.0	184.17528703703707	54
10211.0	183.95309444444445	54
100128731.0	181.51732592592595	54
8531.0	181.43247481481487	54
1984.0	180.64977037037042	54
23741.0	180.43896296296296	54
192286.0	180.3297944444445	54
5166.0	180.31348694444443	53
4691.0	180.26402962962962	54
6649.0	180.05461783333325	52
6696.0	180.00296487037036	51
125144.0	179.47782962962955	54
539.0	179.12367592592594	54
6157.0	179.07235185185183	54
126393.0	178.6531040555556	52
6146.0	178.38014074074067	54
476.0	178.3121407407407	54
1522.0	177.4767796296296	54
128866.0	177.4673351851852	54
3725.0	177.3797351851852	54
1153.0	177.26193888888886	54
4170.0	176.23229074074072	54
513.0	175.94703333333328	54
388533.0	175.78377162962965	26
23646.0	175.44764074074067	54
9296.0	174.2495037037037	54
7919.0	174.20207592592584	54
2664.0	174.05754999999994	54
10397.0	174.0033468518519	54
7345.0	173.90936937037034	52
79921.0	173.6921833333333	54
6035.0	173.3630735925926	53
23558.0	173.24199629629632	54
10627.0	172.68661481481487	54
51119.0	172.51837222222224	54
718.0	172.3955771851852	53
6237.0	172.21937777777774	54
301.0	172.00016074074068	54
5720.0	171.59512592592594	54
2547.0	171.58312407407405	54
3849.0	171.58203100000006	14
1634.0	171.19441766666665	52
4313.0	170.80805527777775	50
11067.0	170.1125846296296	54
550.0	169.46697407407413	54
8724.0	169.40871666666666	54
387763.0	169.25657022222217	52
678.0	169.11525277777778	54
1975.0	168.91282962962964	54
2040.0	168.7767425925926	54
49860.0	168.5146693444444	13
7295.0	168.42916666666667	54
730.0	168.1446482962963	46
7141.0	168.13189997407406	3
11331.0	167.65592777777778	54
4792.0	167.1688759259259	54
