trait_pair	EFO	Common Study	Rare Study	g_C	g_R	nShared	Log2SizeOE	J_RC	jaccard_zero	N_C	N_R	binary	Mean_Constraint	DiffRC_Constraint	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues	density_R	density_C	assortativity_RC
36809768_EFO_0004458_GCST002086_EFO_0004458	EFO_0004458	GCST002086	36809768	3	168	3	1.288148189358481	0.017857142857142856	0	6692.0	392480.0	0	0.007542621052631578	-1.7248598604974321	14.140350877192983	-0.4444444444444444	20807.947368421053	-0.14389374000737917	11.195230259844054	0.7621662229455021	51.92982456140351	0.08	0.0379241516966067	0.0	0.0055139128007136
37262146_EFO_0004458_GCST002086_EFO_0004458	EFO_0004458	GCST002086	37262146	3	12	1	1.3884189317804894	0.07142857142857142	0	6692.0	401986.0	0	0.02514882	-1.5537383729369285	32.4	0.45614035087719296	51595.4	0.8374580155448582	7.837125222444443	0.5095375588239058	23.6	-0.9312977099236641	0.1818181818181818	0.0	0.0025640306959757
31367044_EFO_0004458_GCST90018730_EFO_0004458	EFO_0004458	GCST90018730	31367044	4	4	1	1.4376352616829364	0.14285714285714285	0	83025.0	17927.0	0	0.007685175000000001	-0.06705898043961267	29.5	-0.1016949152542373	26367.25	-1.3460448093752666	31.259459619907403	1.5407516763778177	28.75	-0.19130434782608696	0.1666666666666666	0.0	0.0020432174214845
34662886_EFO_0004458_GCST90018730_EFO_0004458	EFO_0004458	GCST90018730	34662886	4	4	0	1.348627376479064	0.0	1	83025.0	411217.3333333333	0	0.014337095000000001	0.8919854405651911	29.5	-0.1016949152542373	62254.0	0.5828059241173258	7.858216546759259	0.17314089751087913	28.75	-0.19130434782608696	0.3333333333333333	0.0	0.0030455134457198
36809768_EFO_0004458_GCST90018730_EFO_0004458	EFO_0004458	GCST90018730	36809768	4	168	3	1.262826082805484	0.01775147928994083	0	83025.0	392480.0	0	0.006223585	-0.2492236560745971	14.395348837209303	-0.7555555555555555	21294.79069767442	-0.7203169684496142	11.20870864864341	0.44655523487511006	51.52325581395349	0.49101796407185627	0.0379241516966067	0.0	0.0055112089919747
37262146_EFO_0004458_GCST90018730_EFO_0004458	EFO_0004458	GCST90018730	37262146	4	12	1	1.2795767352379943	0.06666666666666667	0	83025.0	401986.0	0	0.009868795	0.2783105546171674	34.0	0.12121212121212122	54904.75	0.28044632850947715	8.191899466875	0.17213887414402693	21.0	-0.5714285714285714	0.1818181818181818	0.0	0.0038418888238559
31367044_EFO_0004458_GCST90018950_EFO_0004458	EFO_0004458	GCST90018950	31367044	104	4	1	1.416694346803968	0.009345794392523364	0	436491.0	17927.0	0	0.033651629444444435	-1.2940942785126643	18.37037037037037	0.43478260869565216	78845.0925925926	-1.6175340338813875	12.938016810288067	1.3213832726057484	52.0	-0.6835443037974683	0.1666666666666666	0.0382748319641523	0.0027505904595082
34662886_EFO_0004458_GCST90018950_EFO_0004458	EFO_0004458	GCST90018950	34662886	104	4	1	1.3443716226682212	0.009345794392523364	0	436491.0	411217.3333333333	0	0.034144364259259256	-0.502925308961641	18.37037037037037	0.43478260869565216	81503.37037037036	-0.014215053630643258	11.204591397462277	-0.2790161873490992	52.0	-0.6835443037974683	0.3333333333333333	0.0382748319641523	0.0027505904595082
36809768_EFO_0004458_GCST90018950_EFO_0004458	EFO_0004458	GCST90018950	36809768	104	168	31	1.6801548347234383	0.12863070539419086	0	436491.0	392480.0	0	0.01707114411764706	-1.394494514346435	15.529411764705882	-0.25	43996.455882352944	-1.1885823211710942	11.305617743082788	-0.00021701161127356668	52.38235294117647	-0.01904761904761905	0.0379241516966067	0.0382748319641523	0.0046111003862037
37262146_EFO_0004458_GCST90018950_EFO_0004458	EFO_0004458	GCST90018950	37262146	104	12	3	1.372205374119755	0.02654867256637168	0	436491.0	401986.0	0	0.032162028448275856	-1.069246270147733	19.75862068965517	0.6415094339622641	79162.13793103448	-0.32908717011310407	11.019832155360792	-0.28000601491807375	49.327586206896555	-1.0070921985815602	0.1818181818181818	0.0382748319641523	0.0034252198812036
31367044_EFO_0004458_GCST90025959_EFO_0004458	EFO_0004458	GCST90025959	31367044	11	4	3	1.843251900215836	0.25	0	436939.0	17927.0	0	0.016279565333333332	-0.8966060492843441	33.13333333333333	-0.2222222222222222	21200.0	-0.9973688418543123	22.392825215555554	1.3666158753315205	42.13333333333333	-0.5945945945945946	0.1666666666666666	0.1818181818181818	0.0048566701053565
34662886_EFO_0004458_GCST90025959_EFO_0004458	EFO_0004458	GCST90025959	34662886	11	4	4	2.2174457944661343	0.36363636363636365	0	436939.0	411217.3333333333	0	0.019827256	0.061289587690329904	33.13333333333333	-0.2222222222222222	40339.6	1.0289444188039822	9.912162243209877	-0.19769393379865044	42.13333333333333	-0.5945945945945946	0.3333333333333333	0.1818181818181818	0.0039534446509741
36809768_EFO_0004458_GCST90025959_EFO_0004458	EFO_0004458	GCST90025959	36809768	11	168	8	1.713220984015268	0.04678362573099415	0	436939.0	392480.0	0	0.007000942458100559	-1.0370135293785518	15.29050279329609	-0.8571428571428571	21060.145251396647	-0.21590310689836756	11.249802172294642	0.08224272053286144	51.754189944134076	0.08	0.0379241516966067	0.1818181818181818	0.0057773469543827
37262146_EFO_0004458_GCST90025959_EFO_0004458	EFO_0004458	GCST90025959	37262146	11	12	3	1.935999166965725	0.15	0	436939.0	401986.0	0	0.014809252173913044	-0.5989964769225514	35.0	0.0	42849.47826086957	0.7766861265366177	9.429873597568438	-0.19869356549315664	32.08695652173913	-0.9312977099236641	0.1818181818181818	0.1818181818181818	0.0061136539391184
